fecha_venta,fecha_envio,sucursal,region,canal,categoria,subcategoria,venta_bruta,descuento_pct,venta_neta,costo,margen,tickets,metodo_pago,segmento_cliente,campana
2024-01-06,2024-01-07,Sur,Patagonia,Tienda,Hogar,Cocina,20145.31,15,17123.52,11043.12,6080.39,67,Transferencia,Premium,Lanzamiento Verano
2024-01-07,2024-01-07,Centro,Ciudad,Online,Ropa,Deportiva,9697.94,5,9213.04,5650.25,3562.79,27,BNPL,Ocasional,Lanzamiento Verano
2024-01-07,2024-01-08,Oeste,Cordillera,Tienda,Ropa,Deportiva,23169.67,0,23169.67,12814.52,10355.16,60,Tarjeta,Premium,Lanzamiento Verano
2024-01-07,2024-01-07,Norte,Litoral,Online,Electrónica,Computadoras,16862.01,5,16018.91,11476.13,4542.77,70,Tarjeta,Ocasional,Back to School
2024-01-08,2024-01-10,Oeste,Cordillera,Online,Electrónica,Computadoras,8354.13,0,8354.13,5511.48,2842.66,23,Tarjeta,Ocasional,Liquidación Q1
2024-01-08,2024-01-08,Norte,Litoral,Tienda,Electrónica,Smartphones,15323.81,5,14557.62,10432.81,4124.81,43,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-08,2024-01-10,Sur,Patagonia,Tienda,Hogar,Cocina,12404.12,15,10543.5,7046.49,3497.02,61,Efectivo,Premium,Back to School
2024-01-09,2024-01-09,Centro,Ciudad,Online,Electrónica,Smartphones,7348.87,0,7348.87,5053.02,2295.85,28,Transferencia,Ocasional,Liquidación Q1
2024-01-09,2024-01-09,Oeste,Cordillera,Tienda,Electrónica,Smartphones,10878.85,10,9790.96,6709.6,3081.37,27,Transferencia,Frecuente,Lanzamiento Verano
2024-01-09,2024-01-10,Este,Costa,Online,Hogar,Electrodomésticos,14475.56,0,14475.56,8057.12,6418.44,44,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-10,2024-01-10,Norte,Litoral,Tienda,Electrónica,Audio,21677.99,5,20594.09,11811.13,8782.97,66,Tarjeta,Ocasional,Liquidación Q1
2024-01-10,2024-01-10,Sur,Patagonia,Tienda,Ropa,Casual,20426.85,0,20426.85,12722.12,7704.73,74,Efectivo,Premium,Liquidación Q1
2024-01-10,2024-01-11,Centro,Ciudad,Tienda,Hogar,Cocina,16832.9,15,14307.96,9421.88,4886.08,59,Tarjeta,Frecuente,Back to School
2024-01-11,2024-01-11,Centro,Ciudad,Tienda,Hogar,Cocina,14676.31,0,14676.31,9298.54,5377.77,48,Tarjeta,Premium,Back to School
2024-01-11,2024-01-11,Oeste,Cordillera,Online,Electrónica,Audio,30694.74,0,30694.74,20147.91,10546.83,71,Tarjeta,Ocasional,Back to School
2024-01-11,2024-01-12,Norte,Litoral,Tienda,Ropa,Casual,23163.8,10,20847.42,13866.01,6981.41,68,Efectivo,Premium,Liquidación Q1
2024-01-12,2024-01-13,Norte,Litoral,Online,Ropa,Deportiva,12018.37,0,12018.37,7380.89,4637.48,32,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-12,2024-01-14,Oeste,Cordillera,Tienda,Hogar,Decoración,16869.62,5,16026.14,9763.4,6262.74,53,BNPL,Premium,Back to School
2024-01-12,2024-01-12,Centro,Ciudad,Tienda,Electrónica,Smartphones,9331.62,10,8398.46,6033.34,2365.13,43,Tarjeta,Frecuente,Liquidación Q1
2024-01-13,2024-01-15,Norte,Litoral,Online,Electrónica,Computadoras,21478.27,5,20404.36,12573.88,7830.48,60,Tarjeta,Premium,Lanzamiento Verano
2024-01-13,2024-01-13,Sur,Patagonia,Online,Electrónica,Computadoras,8683.27,15,7380.78,5252.19,2128.59,47,Efectivo,Frecuente,Back to School
2024-01-13,2024-01-13,Centro,Ciudad,Tienda,Ropa,Deportiva,23585.1,15,20047.33,13370.87,6676.46,55,Transferencia,Ocasional,Liquidación Q1
2024-01-14,2024-01-16,Sur,Patagonia,Online,Electrónica,Smartphones,19279.4,0,19279.4,12508.9,6770.5,56,Transferencia,Ocasional,Lanzamiento Verano
2024-01-14,2024-01-14,Este,Costa,Online,Hogar,Electrodomésticos,12868.87,0,12868.87,9060.72,3808.15,38,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-14,2024-01-14,Oeste,Cordillera,Tienda,Electrónica,Computadoras,24511.28,10,22060.15,14687.14,7373.02,60,Tarjeta,Frecuente,Back to School
2024-01-15,2024-01-16,Sur,Patagonia,Online,Electrónica,Smartphones,21395.82,15,18186.45,10230.7,7955.75,66,Efectivo,Ocasional,Back to School
2024-01-15,2024-01-15,Este,Costa,Online,Ropa,Deportiva,27288.74,5,25924.3,15951.59,9972.71,72,Efectivo,Ocasional,Liquidación Q1
2024-01-15,2024-01-15,Oeste,Cordillera,Tienda,Electrónica,Audio,11630.27,0,11630.27,6922.45,4707.83,47,Tarjeta,Frecuente,Back to School
2024-01-16,2024-01-16,Sur,Patagonia,Online,Electrónica,Smartphones,26997.66,0,26997.66,19165.38,7832.28,65,Tarjeta,Frecuente,Liquidación Q1
2024-01-16,2024-01-18,Norte,Litoral,Online,Ropa,Deportiva,7574.0,10,6816.6,4893.21,1923.39,24,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-16,2024-01-16,Este,Costa,Online,Electrónica,Smartphones,16062.54,0,16062.54,9199.9,6862.64,53,Tarjeta,Premium,Back to School
2024-01-17,2024-01-18,Este,Costa,Online,Electrónica,Smartphones,8496.89,5,8072.04,4616.86,3455.18,29,BNPL,Frecuente,Lanzamiento Verano
2024-01-17,2024-01-19,Centro,Ciudad,Online,Ropa,Formal,16081.69,5,15277.61,9639.5,5638.11,45,Transferencia,Frecuente,Liquidación Q1
2024-01-17,2024-01-17,Sur,Patagonia,Tienda,Ropa,Deportiva,12914.01,10,11622.61,6813.22,4809.39,36,Tarjeta,Premium,Lanzamiento Verano
2024-01-18,2024-01-18,Centro,Ciudad,Tienda,Hogar,Cocina,17291.07,15,14697.41,8828.04,5869.36,43,Tarjeta,Frecuente,Liquidación Q1
2024-01-18,2024-01-18,Norte,Litoral,Online,Electrónica,Smartphones,12116.35,0,12116.35,7857.94,4258.41,53,Tarjeta,Frecuente,Back to School
2024-01-18,2024-01-18,Este,Costa,Tienda,Electrónica,Computadoras,20010.1,5,19009.6,12612.58,6397.02,51,Tarjeta,Premium,Lanzamiento Verano
2024-01-19,2024-01-20,Sur,Patagonia,Tienda,Electrónica,Smartphones,22029.72,0,22029.72,13352.59,8677.13,60,Tarjeta,Premium,Back to School
2024-01-19,2024-01-19,Oeste,Cordillera,Tienda,Ropa,Formal,20285.7,0,20285.7,12111.96,8173.73,67,Transferencia,Frecuente,Lanzamiento Verano
2024-01-19,2024-01-20,Centro,Ciudad,Tienda,Hogar,Decoración,14918.64,10,13426.78,7527.03,5899.75,45,Tarjeta,Premium,Back to School
2024-01-20,2024-01-20,Este,Costa,Tienda,Ropa,Formal,14138.11,0,14138.11,9548.3,4589.81,34,Tarjeta,Frecuente,Liquidación Q1
2024-01-20,2024-01-21,Norte,Litoral,Tienda,Electrónica,Smartphones,13479.31,10,12131.38,7700.21,4431.17,32,Tarjeta,Frecuente,Back to School
2024-01-20,2024-01-20,Centro,Ciudad,Tienda,Ropa,Casual,22373.9,0,22373.9,15727.51,6646.39,60,Efectivo,Premium,Back to School
2024-01-21,2024-01-21,Sur,Patagonia,Tienda,Hogar,Electrodomésticos,19904.72,0,19904.72,11534.26,8370.46,67,Transferencia,Premium,Back to School
2024-01-21,2024-01-22,Norte,Litoral,Mayorista,Ropa,Casual,6199.05,5,5889.1,4157.45,1731.65,21,Tarjeta,Ocasional,Back to School
2024-01-21,2024-01-21,Este,Costa,Online,Hogar,Electrodomésticos,6595.07,10,5935.56,3453.3,2482.27,30,Tarjeta,Frecuente,Back to School
2024-01-22,2024-01-22,Oeste,Cordillera,Tienda,Hogar,Electrodomésticos,19393.09,0,19393.09,12624.13,6768.96,55,Tarjeta,Frecuente,Back to School
2024-01-22,2024-01-24,Sur,Patagonia,Tienda,Hogar,Cocina,25949.99,10,23354.99,13268.88,10086.11,56,Transferencia,Frecuente,Back to School
2024-01-22,2024-01-23,Este,Costa,Mayorista,Hogar,Electrodomésticos,15321.7,15,13023.44,8760.5,4262.95,54,Tarjeta,Ocasional,Liquidación Q1
2024-01-23,2024-01-23,Oeste,Cordillera,Tienda,Ropa,Formal,6187.95,10,5569.15,3434.58,2134.57,33,Transferencia,Frecuente,Lanzamiento Verano
2024-01-23,2024-01-23,Centro,Ciudad,Tienda,Ropa,Formal,11615.99,5,11035.19,6736.01,4299.18,34,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-23,2024-01-24,Sur,Patagonia,Tienda,Hogar,Decoración,5088.27,0,5088.27,3485.38,1602.88,22,Efectivo,Frecuente,Liquidación Q1
2024-01-24,2024-01-24,Norte,Litoral,Online,Electrónica,Audio,8938.38,5,8491.46,5770.95,2720.51,23,Transferencia,Frecuente,Liquidación Q1
2024-01-24,2024-01-24,Sur,Patagonia,Online,Ropa,Deportiva,7947.6,10,7152.84,4809.61,2343.23,27,Efectivo,Frecuente,Back to School
2024-01-24,2024-01-26,Este,Costa,Tienda,Ropa,Casual,8318.4,0,8318.4,4896.62,3421.78,29,Tarjeta,Frecuente,Back to School
2024-01-25,2024-01-27,Oeste,Cordillera,Online,Ropa,Deportiva,15264.01,5,14500.81,9471.08,5029.73,56,Tarjeta,Frecuente,Liquidación Q1
2024-01-25,2024-01-25,Sur,Patagonia,Tienda,Hogar,Cocina,13931.52,0,13931.52,8103.61,5827.91,40,Transferencia,Frecuente,Lanzamiento Verano
2024-01-25,2024-01-25,Este,Costa,Online,Ropa,Deportiva,27666.7,0,27666.7,16785.25,10881.46,72,Tarjeta,Frecuente,Liquidación Q1
2024-01-26,2024-01-26,Este,Costa,Tienda,Ropa,Formal,17957.01,15,15263.46,9039.0,6224.46,63,Efectivo,Premium,Lanzamiento Verano
2024-01-26,2024-01-27,Centro,Ciudad,Online,Ropa,Casual,13674.0,0,13674.0,9838.01,3835.99,45,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-26,2024-01-26,Oeste,Cordillera,Tienda,Ropa,Casual,12934.03,5,12287.33,8063.51,4223.82,51,Tarjeta,Ocasional,Back to School
2024-01-27,2024-01-28,Centro,Ciudad,Tienda,Electrónica,Audio,12218.07,0,12218.07,8509.93,3708.14,49,BNPL,Frecuente,Lanzamiento Verano
2024-01-27,2024-01-27,Este,Costa,Tienda,Ropa,Formal,15614.44,10,14053.0,9800.4,4252.59,47,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-27,2024-01-28,Norte,Litoral,Tienda,Hogar,Cocina,24932.65,5,23686.02,15929.75,7756.27,66,Transferencia,Ocasional,Back to School
2024-01-28,2024-01-29,Sur,Patagonia,Tienda,Ropa,Formal,22133.68,0,22133.68,14556.24,7577.45,67,Efectivo,Ocasional,Lanzamiento Verano
2024-01-28,2024-01-28,Norte,Litoral,Online,Hogar,Decoración,5772.73,0,5772.73,3547.62,2225.11,20,Efectivo,Frecuente,Back to School
2024-01-28,2024-01-30,Centro,Ciudad,Online,Hogar,Cocina,24125.25,0,24125.25,17265.79,6859.46,63,Transferencia,Premium,Back to School
2024-01-29,2024-01-29,Este,Costa,Tienda,Hogar,Cocina,12435.66,10,11192.1,8028.63,3163.46,44,Tarjeta,Premium,Lanzamiento Verano
2024-01-29,2024-01-29,Oeste,Cordillera,Mayorista,Electrónica,Audio,16220.13,5,15409.12,8650.99,6758.14,55,Tarjeta,Frecuente,Liquidación Q1
2024-01-29,2024-01-29,Sur,Patagonia,Tienda,Ropa,Deportiva,16768.09,5,15929.68,10562.28,5367.41,50,Tarjeta,Ocasional,Back to School
2024-01-30,2024-01-31,Centro,Ciudad,Mayorista,Electrónica,Computadoras,27285.23,5,25920.96,15337.68,10583.29,72,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-30,2024-01-31,Sur,Patagonia,Tienda,Ropa,Casual,18613.19,0,18613.19,11767.97,6845.22,53,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-30,2024-01-30,Este,Costa,Online,Ropa,Deportiva,19399.84,0,19399.84,13212.36,6187.48,62,Tarjeta,Premium,Liquidación Q1
2024-01-31,2024-02-02,Oeste,Cordillera,Tienda,Ropa,Casual,21232.03,15,18047.22,12349.76,5697.47,56,Efectivo,Frecuente,Lanzamiento Verano
2024-01-31,2024-01-31,Centro,Ciudad,Online,Ropa,Deportiva,10235.96,5,9724.16,6492.69,3231.46,36,Transferencia,Premium,Back to School
2024-01-31,2024-02-01,Norte,Litoral,Mayorista,Electrónica,Audio,21529.77,15,18300.31,11794.31,6505.99,66,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-01,2024-02-01,Oeste,Cordillera,Mayorista,Hogar,Electrodomésticos,14108.84,0,14108.84,8851.53,5257.32,49,Tarjeta,Frecuente,Back to School
2024-02-01,2024-02-01,Centro,Ciudad,Online,Electrónica,Audio,5663.92,10,5097.53,2860.28,2237.25,22,Tarjeta,Frecuente,Liquidación Q1
2024-02-01,2024-02-01,Norte,Litoral,Online,Electrónica,Audio,24990.56,0,24990.56,13848.47,11142.09,63,Transferencia,Premium,Liquidación Q1
2024-02-02,2024-02-02,Centro,Ciudad,Tienda,Hogar,Cocina,15290.08,5,14525.58,8659.96,5865.62,48,Tarjeta,Premium,Lanzamiento Verano
2024-02-02,2024-02-02,Norte,Litoral,Online,Electrónica,Computadoras,18347.94,0,18347.94,10987.31,7360.63,64,Tarjeta,Premium,Lanzamiento Verano
2024-02-02,2024-02-03,Este,Costa,Mayorista,Electrónica,Computadoras,17869.89,15,15189.4,10414.74,4774.66,68,Tarjeta,Frecuente,Liquidación Q1
2024-02-03,2024-02-03,Oeste,Cordillera,Tienda,Ropa,Deportiva,22154.96,5,21047.21,13410.38,7636.83,73,Tarjeta,Premium,Lanzamiento Verano
2024-02-03,2024-02-03,Este,Costa,Online,Hogar,Cocina,5881.19,5,5587.13,3640.22,1946.91,24,Tarjeta,Frecuente,Back to School
2024-02-03,2024-02-03,Centro,Ciudad,Mayorista,Ropa,Formal,20194.46,5,19184.74,12990.72,6194.02,57,Tarjeta,Ocasional,Liquidación Q1
2024-02-04,2024-02-04,Norte,Litoral,Tienda,Hogar,Decoración,9811.31,10,8830.18,5279.01,3551.18,28,Tarjeta,Premium,Back to School
2024-02-04,2024-02-05,Este,Costa,Tienda,Electrónica,Smartphones,14473.99,0,14473.99,10055.16,4418.83,47,Tarjeta,Frecuente,Back to School
2024-02-04,2024-02-05,Centro,Ciudad,Tienda,Hogar,Electrodomésticos,11361.14,10,10225.03,6768.32,3456.71,32,Transferencia,Ocasional,Liquidación Q1
2024-02-05,2024-02-05,Este,Costa,Online,Hogar,Electrodomésticos,7162.62,10,6446.36,4500.93,1945.42,24,Tarjeta,Ocasional,Lanzamiento Verano
2024-02-05,2024-02-05,Sur,Patagonia,Online,Ropa,Casual,22772.12,0,22772.12,13272.33,9499.78,55,Tarjeta,Frecuente,Back to School
2024-02-05,2024-02-06,Norte,Litoral,Tienda,Electrónica,Computadoras,22819.3,0,22819.3,15502.86,7316.44,67,Tarjeta,Ocasional,Lanzamiento Verano
2024-02-06,2024-02-07,Este,Costa,Tienda,Hogar,Electrodomésticos,13144.11,5,12486.9,6990.75,5496.15,36,Tarjeta,Ocasional,Liquidación Q1
2024-02-06,2024-02-07,Sur,Patagonia,Tienda,Ropa,Formal,26881.59,10,24193.43,13407.51,10785.92,71,Tarjeta,Frecuente,Back to School
2024-02-06,2024-02-07,Norte,Litoral,Online,Hogar,Decoración,23445.37,0,23445.37,16299.59,7145.78,65,Tarjeta,Ocasional,Lanzamiento Verano
2024-02-07,2024-02-07,Oeste,Cordillera,Online,Hogar,Cocina,12684.73,15,10782.02,7501.6,3280.42,40,BNPL,Ocasional,Back to School
2024-02-07,2024-02-08,Centro,Ciudad,Tienda,Hogar,Electrodomésticos,12980.1,10,11682.09,7364.93,4317.17,53,BNPL,Premium,Liquidación Q1
2024-02-07,2024-02-07,Sur,Patagonia,Online,Hogar,Decoración,28870.44,0,28870.44,19789.4,9081.03,71,Tarjeta,Ocasional,Liquidación Q1
2024-02-08,2024-02-08,Sur,Patagonia,Tienda,Electrónica,Audio,18461.85,5,17538.76,10448.35,7090.41,67,Transferencia,Frecuente,Back to School
2024-02-08,2024-02-08,Oeste,Cordillera,Tienda,Hogar,Decoración,21063.42,5,20010.24,11997.8,8012.45,66,Efectivo,Ocasional,Liquidación Q1
2024-02-08,2024-02-08,Este,Costa,Tienda,Electrónica,Smartphones,14387.77,10,12948.99,8353.92,4595.08,31,Tarjeta,Frecuente,Back to School
2024-02-09,2024-02-10,Este,Costa,Tienda,Hogar,Electrodomésticos,6691.52,15,5687.79,3322.5,2365.29,21,Efectivo,Ocasional,Lanzamiento Verano
2024-02-09,2024-02-10,Sur,Patagonia,Mayorista,Electrónica,Computadoras,10552.54,5,10024.92,6022.99,4001.93,25,BNPL,Ocasional,Back to School
2024-02-09,2024-02-09,Centro,Ciudad,Online,Ropa,Formal,12089.66,10,10880.69,6997.27,3883.42,30,Transferencia,Frecuente,Back to School
2024-02-10,2024-02-10,Centro,Ciudad,Tienda,Ropa,Deportiva,13234.28,15,11249.14,6831.29,4417.85,44,Tarjeta,Ocasional,Back to School
2024-02-10,2024-02-10,Este,Costa,Online,Hogar,Electrodomésticos,14163.45,0,14163.45,9096.07,5067.38,41,Tarjeta,Premium,Back to School
2024-02-10,2024-02-12,Sur,Patagonia,Tienda,Ropa,Deportiva,10022.03,10,9019.83,6099.75,2920.08,26,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-11,2024-02-11,Este,Costa,Online,Hogar,Cocina,16607.87,5,15777.47,11020.28,4757.19,53,BNPL,Frecuente,Lanzamiento Verano
2024-02-11,2024-02-13,Oeste,Cordillera,Mayorista,Ropa,Deportiva,14896.5,0,14896.5,10005.84,4890.67,37,BNPL,Premium,Lanzamiento Verano
2024-02-11,2024-02-12,Sur,Patagonia,Tienda,Electrónica,Audio,23463.74,0,23463.74,13293.54,10170.2,64,Tarjeta,Frecuente,Back to School
2024-02-12,2024-02-12,Norte,Litoral,Tienda,Ropa,Deportiva,9275.12,0,9275.12,6630.5,2644.62,24,Tarjeta,Premium,Lanzamiento Verano
2024-02-12,2024-02-12,Este,Costa,Tienda,Hogar,Decoración,16650.92,0,16650.92,9862.03,6788.89,60,Efectivo,Frecuente,Lanzamiento Verano
2024-02-12,2024-02-12,Oeste,Cordillera,Tienda,Electrónica,Computadoras,22942.15,10,20647.94,12923.19,7724.75,56,Transferencia,Frecuente,Back to School
2024-02-13,2024-02-14,Oeste,Cordillera,Mayorista,Electrónica,Smartphones,24469.24,0,24469.24,14206.88,10262.35,74,Tarjeta,Premium,Back to School
2024-02-13,2024-02-13,Este,Costa,Tienda,Hogar,Electrodomésticos,20092.04,0,20092.04,12832.67,7259.37,62,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-13,2024-02-15,Sur,Patagonia,Tienda,Hogar,Decoración,25456.51,0,25456.51,14816.18,10640.33,74,Efectivo,Premium,Lanzamiento Verano
2024-02-14,2024-02-15,Oeste,Cordillera,Mayorista,Hogar,Decoración,24847.46,10,22362.71,15221.14,7141.57,69,Tarjeta,Ocasional,Liquidación Q1
2024-02-14,2024-02-16,Este,Costa,Mayorista,Hogar,Cocina,19362.07,5,18393.97,10450.0,7943.97,67,Efectivo,Ocasional,Lanzamiento Verano
2024-02-14,2024-02-15,Sur,Patagonia,Tienda,Electrónica,Smartphones,30011.23,10,27010.11,16711.26,10298.85,72,Tarjeta,Frecuente,Liquidación Q1
2024-02-15,2024-02-15,Norte,Litoral,Online,Hogar,Decoración,9027.51,0,9027.51,5463.27,3564.25,26,Tarjeta,Frecuente,Back to School
2024-02-15,2024-02-15,Oeste,Cordillera,Tienda,Electrónica,Smartphones,22600.13,5,21470.12,13500.28,7969.84,54,Tarjeta,Ocasional,Back to School
2024-02-15,2024-02-15,Este,Costa,Tienda,Hogar,Cocina,11798.26,0,11798.26,7545.29,4252.97,31,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-16,2024-02-17,Oeste,Cordillera,Tienda,Ropa,Formal,24254.12,0,24254.12,14152.67,10101.45,74,Tarjeta,Premium,Lanzamiento Verano
2024-02-16,2024-02-16,Centro,Ciudad,Tienda,Hogar,Electrodomésticos,16454.54,10,14809.08,9502.36,5306.73,48,Tarjeta,Frecuente,Liquidación Q1
2024-02-16,2024-02-16,Sur,Patagonia,Tienda,Electrónica,Audio,8627.42,0,8627.42,5908.74,2718.68,30,Tarjeta,Ocasional,Back to School
2024-02-17,2024-02-17,Sur,Patagonia,Tienda,Electrónica,Computadoras,14383.31,10,12944.98,9065.56,3879.41,41,Tarjeta,Premium,Back to School
2024-02-17,2024-02-17,Norte,Litoral,Online,Electrónica,Audio,12737.2,10,11463.48,7130.69,4332.79,46,Efectivo,Premium,Back to School
2024-02-17,2024-02-17,Oeste,Cordillera,Online,Ropa,Deportiva,20179.55,10,18161.6,11448.92,6712.68,54,Tarjeta,Premium,Lanzamiento Verano
2024-02-18,2024-02-18,Oeste,Cordillera,Online,Electrónica,Audio,11958.3,0,11958.3,8035.88,3922.42,44,Efectivo,Ocasional,Lanzamiento Verano
2024-02-18,2024-02-18,Este,Costa,Online,Hogar,Electrodomésticos,26774.21,0,26774.21,15115.7,11658.51,64,Transferencia,Premium,Lanzamiento Verano
2024-02-18,2024-02-18,Centro,Ciudad,Tienda,Electrónica,Smartphones,6063.65,5,5760.47,3433.79,2326.68,21,Efectivo,Frecuente,Lanzamiento Verano
2024-02-19,2024-02-20,Centro,Ciudad,Online,Hogar,Electrodomésticos,16283.96,0,16283.96,10563.09,5720.87,49,Tarjeta,Ocasional,Back to School
2024-02-19,2024-02-19,Este,Costa,Tienda,Hogar,Decoración,20335.39,0,20335.39,13483.07,6852.31,49,Transferencia,Ocasional,Lanzamiento Verano
2024-02-19,2024-02-20,Oeste,Cordillera,Tienda,Electrónica,Smartphones,14778.07,5,14039.16,9209.82,4829.34,49,Tarjeta,Ocasional,Lanzamiento Verano
2024-02-20,2024-02-21,Sur,Patagonia,Tienda,Ropa,Casual,17775.54,15,15109.2,9732.54,5376.67,64,Tarjeta,Frecuente,Back to School
2024-02-20,2024-02-20,Oeste,Cordillera,Tienda,Ropa,Casual,18951.36,5,18003.8,11636.17,6367.62,62,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-20,2024-02-20,Centro,Ciudad,Online,Hogar,Decoración,13613.0,0,13613.0,9381.87,4231.12,49,Tarjeta,Premium,Lanzamiento Verano
2024-02-21,2024-02-21,Sur,Patagonia,Online,Electrónica,Audio,17993.98,15,15294.88,9678.61,5616.27,52,Efectivo,Ocasional,Lanzamiento Verano
2024-02-21,2024-02-21,Centro,Ciudad,Tienda,Electrónica,Smartphones,22778.55,5,21639.62,12757.29,8882.34,72,Tarjeta,Ocasional,Lanzamiento Verano
2024-02-21,2024-02-21,Oeste,Cordillera,Mayorista,Hogar,Cocina,6422.46,0,6422.46,3551.66,2870.79,25,Efectivo,Frecuente,Lanzamiento Verano
2024-02-22,2024-02-22,Sur,Patagonia,Tienda,Hogar,Cocina,14309.05,0,14309.05,8607.71,5701.35,50,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-22,2024-02-23,Este,Costa,Mayorista,Electrónica,Smartphones,17129.96,0,17129.96,9927.46,7202.5,58,Efectivo,Ocasional,Liquidación Q1
2024-02-22,2024-02-22,Centro,Ciudad,Tienda,Electrónica,Computadoras,5287.38,0,5287.38,3255.99,2031.39,26,BNPL,Premium,Lanzamiento Verano
2024-02-23,2024-02-23,Centro,Ciudad,Tienda,Electrónica,Smartphones,15423.45,0,15423.45,9115.33,6308.13,32,BNPL,Ocasional,Liquidación Q1
2024-02-23,2024-02-23,Este,Costa,Tienda,Ropa,Formal,9936.66,0,9936.66,6710.73,3225.93,40,Tarjeta,Frecuente,Lanzamiento Verano
2024-02-23,2024-02-23,Sur,Patagonia,Online,Electrónica,Smartphones,19055.68,0,19055.68,12614.44,6441.25,60,BNPL,Ocasional,Lanzamiento Verano
2024-02-24,2024-02-25,Sur,Patagonia,Online,Hogar,Electrodomésticos,16322.28,0,16322.28,10415.73,5906.56,41,Tarjeta,Frecuente,Back to School
2024-02-24,2024-02-24,Este,Costa,Tienda,Electrónica,Computadoras,25648.82,5,24366.38,16724.16,7642.22,62,Tarjeta,Premium,Back to School
2024-02-24,2024-02-24,Centro,Ciudad,Tienda,Ropa,Formal,9773.04,0,9773.04,5538.65,4234.39,38,Efectivo,Ocasional,Lanzamiento Verano
2024-02-25,2024-02-27,Oeste,Cordillera,Online,Electrónica,Smartphones,7396.18,5,7026.37,3876.96,3149.41,21,Tarjeta,Frecuente,Lanzamiento Verano
